"Choice_Number","Information","Reward","Subject","Trial","Age"
1,0.871037807315044,0.659090909090909,"YA1",76,20
2,0.829214416322563,0.432432432432432,"YA1",76,20
3,0.793163203064511,0.941176470588235,"YA1",76,20
4,0.881807973800792,0.842105263157895,"YA1",76,20
5,0.613215205218082,1,"YA1",76,20
1,0.870794989287189,0.644444444444444,"YA1",77,20
2,0.830055758554477,0.447368421052632,"YA1",77,20
3,0.89548618253405,0.32,"YA1",77,20
4,0.752190968093793,0.96875,"YA1",77,20
5,0.757404105344295,1,"YA1",77,20
6,0.613215205218081,1,"YA1",77,20
1,0.870552231439264,0.630434782608696,"YA1",78,20
2,0.693143562380309,0.365853658536585,"YA1",78,20
3,0.691056243713379,0.717948717948718,"YA1",78,20
4,0.877823892401761,0.777777777777778,"YA1",78,20
5,0.8394550408715,0.56,"YA1",78,20
1,0.862818655407068,0.333333333333333,"YA1",79,20
2,0.894811683957428,0.638297872340426,"YA1",79,20
3,0.837884213088628,0.435897435897436,"YA1",79,20
4,0.69299496048191,0.636363636363636,"YA1",79,20
5,0.749695284222437,0.777777777777778,"YA1",79,20
6,0.740335546757276,1,"YA1",79,20
7,0.736691460092878,0.725,"YA1",79,20
8,0.670396804273412,0.777777777777778,"YA1",79,20
9,0.385129215785909,0.933333333333333,"YA1",79,20
10,0.234665779921672,0.933333333333333,"YA1",79,20
1,0.871064887803341,0.625,"YA1",80,20
2,0.829472807320103,0.425,"YA1",80,20
3,0.896552033883003,0.326923076923077,"YA1",80,20
4,0.753472764390262,0.96969696969697,"YA1",80,20
5,0.757800242987769,1,"YA1",80,20
6,0.604250827722399,1,"YA1",80,20
1,0.86341708321865,0.339622641509434,"YA1",81,20
2,0.89450640919297,0.612244897959184,"YA1",81,20
3,0.693147180559956,0.357142857142857,"YA1",81,20
4,0.688785020371028,0.731707317073171,"YA1",81,20
5,0.888571304692271,0.576923076923077,"YA1",81,20
6,0.658059886557087,0.789473684210526,"YA1",81,20
1,0.871577550597222,0.62,"YA1",82,20
2,0.693143515310255,0.348837209302326,"YA1",82,20
3,0.860433604805941,0.882352941176471,"YA1",82,20
4,0.884859457798143,0.970588235294118,"YA1",82,20
1,0.872334025914533,0.627450980392157,"YA1",83,20
2,0.886903608404967,0.333333333333333,"YA1",83,20
